,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,home_wins,away_wins,favorite_margin,primetime,team_favorite_id,favorite_cover,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,who_covered,day_week,primetime,winning_score,losing_score,win_margin,home_margin,away_margin,favorite_margin,home_favored_by,home_difference,home_cover,home_favorite_cover,home_dog_cover
37,9/16/79,1979,3,FALSE,NYJ,31,10,DET,,,21,FALSE,NYJ,TRUE,-6,42,Giants Stadium,FALSE,65,10,55,,NYJ,Sunday,FALSE,31,10,21,21,-21,21,6,15,TRUE,TRUE,HOME FAV
38,9/16/79,1979,3,FALSE,LAC,27,19,BUF,,,8,FALSE,LAC,FALSE,-9,44,Qualcomm Stadium,FALSE,79,8,64,,BUF,Sunday,FALSE,27,19,8,8,-8,8,9,-1,FALSE,FALSE,HOME FAV
39,9/16/79,1979,3,FALSE,SEA,27,10,LVR,,,17,FALSE,SEA,TRUE,-3,44,Seattle Kingdome,FALSE,72,0,,DOME,SEA,Sunday,FALSE,27,10,17,17,-17,17,3,14,TRUE,TRUE,HOME FAV
40,9/16/79,1979,3,FALSE,ARI,21,24,PIT,,,3,FALSE,PIT,FALSE,-6,40,Busch Memorial Stadium,FALSE,63,5,56,,ARI,Sunday,FALSE,24,21,3,-3,3,3,-6,3,TRUE,AWAY FAV,TRUE
41,9/17/79,1979,3,FALSE,WAS,27,0,NYG,,,27,TRUE,WAS,TRUE,-6,37,RFK Memorial Stadium,FALSE,68,6,72,,WAS,Monday,TRUE,27,0,27,27,-27,27,6,21,TRUE,TRUE,HOME FAV
42,9/23/79,1979,4,FALSE,BUF,46,31,NYJ,,,15,FALSE,BUF,TRUE,-3,42,Ralph Wilson Stadium,FALSE,50,9,66,,BUF,Sunday,FALSE,46,31,15,15,-15,15,3,12,TRUE,TRUE,HOME FAV
43,9/23/79,1979,4,FALSE,CIN,27,30,TEN,,,3,FALSE,TEN,PUSH,-3,37,Cinergy Field,FALSE,56,11,64,,PUSH,Sunday,FALSE,30,27,3,-3,3,3,-3,0,PUSH,AWAY FAV,PUSH
44,9/23/79,1979,4,FALSE,DEN,37,34,SEA,,,3,FALSE,DEN,FALSE,-6,37,Mile High Stadium,FALSE,69,9,24,,SEA,Sunday,FALSE,37,34,3,3,-3,3,6,-3,FALSE,FALSE,HOME FAV
45,9/23/79,1979,4,FALSE,DET,24,23,ATL,,,-1,FALSE,ATL,FALSE,-6,37,Pontiac Silverdome,FALSE,72,0,,DOME,DET,Sunday,FALSE,24,23,1,1,-1,-1,-6,7,TRUE,AWAY FAV,TRUE
46,9/23/79,1979,4,FALSE,KC,35,7,LVR,,,-28,FALSE,LVR,FALSE,-3,41,Arrowhead Stadium,FALSE,65,10,47,,KC,Sunday,FALSE,35,7,28,28,-28,-28,-3,31,TRUE,AWAY FAV,TRUE
47,9/23/79,1979,4,FALSE,MIA,31,16,CHI,,,15,FALSE,MIA,TRUE,-6,37,Orange Bowl,FALSE,79,8,86,,MIA,Sunday,FALSE,31,16,15,15,-15,15,6,9,TRUE,TRUE,HOME FAV
48,9/23/79,1979,4,FALSE,MIN,27,21,GB,,,6,FALSE,MIN,TRUE,-1,34,Metropolitan Stadium,FALSE,59,14,53,,MIN,Sunday,FALSE,27,21,6,6,-6,6,1,5,TRUE,TRUE,HOME FAV
49,9/23/79,1979,4,FALSE,NE,27,21,LAC,,,6,FALSE,NE,TRUE,-3,44,Foxboro Stadium,FALSE,55,14,72,,NE,Sunday,FALSE,27,21,6,6,-6,6,3,3,TRUE,TRUE,HOME FAV
50,9/23/79,1979,4,FALSE,NYG,13,17,PHI,,,4,FALSE,PHI,FALSE,-5,37,Giants Stadium,FALSE,61,16,58,,NYG,Sunday,FALSE,17,13,4,-4,4,4,-5,1,TRUE,AWAY FAV,TRUE
51,9/23/79,1979,4,FALSE,PIT,17,13,IND,,,4,FALSE,PIT,FALSE,-14,38,Three Rivers Stadium,FALSE,54,10,65,,IND,Sunday,FALSE,17,13,4,4,-4,4,14,-10,FALSE,FALSE,HOME FAV
52,9/23/79,1979,4,FALSE,SF,21,30,NO,,,9,FALSE,PICK,TRUE,0,42,Candlestick Park,FALSE,62,9,71,,PICK,Sunday,FALSE,30,21,9,-9,9,9,0,-9,FALSE,AWAY FAV,HOME FAV
53,9/23/79,1979,4,FALSE,ARI,7,17,WAS,,,-10,FALSE,ARI,FALSE,-3,39,Busch Memorial Stadium,FALSE,61,8,53,,WAS,Sunday,FALSE,17,7,10,-10,10,-10,3,-13,FALSE,FALSE,HOME FAV
54,9/23/79,1979,4,FALSE,TB,21,6,LAR,,,-15,FALSE,LAR,FALSE,-3,35,Houlihan's Stadium,FALSE,82,8,76,,TB,Sunday,FALSE,21,6,15,15,-15,-15,-3,18,TRUE,AWAY FAV,TRUE
55,9/24/79,1979,4,FALSE,CLE,26,7,DAL,,,-19,TRUE,DAL,FALSE,-3,40,Cleveland Municipal Stadium,FALSE,56,8,68,,CLE,Monday,TRUE,26,7,19,19,-19,-19,-3,22,TRUE,AWAY FAV,TRUE
56,9/30/79,1979,5,FALSE,ATL,7,16,WAS,,,-9,FALSE,ATL,FALSE,-3,37,Atlanta-Fulton County Stadium,FALSE,72,8,79,,WAS,Sunday,FALSE,16,7,9,-9,9,-9,3,-12,FALSE,FALSE,HOME FAV
57,9/30/79,1979,5,FALSE,IND,13,31,BUF,,,-18,FALSE,IND,FALSE,-2,42,Memorial Stadium (Baltimore),FALSE,71,7,90,,BUF,Sunday,FALSE,31,13,18,-18,18,-18,2,-20,FALSE,FALSE,HOME FAV
58,9/30/79,1979,5,FALSE,CHI,13,17,TB,,,-4,FALSE,CHI,FALSE,-1,34,Soldier Field,FALSE,67,9,68,,TB,Sunday,FALSE,17,13,4,-4,4,-4,1,-5,FALSE,FALSE,HOME FAV
59,9/30/79,1979,5,FALSE,DAL,38,13,CIN,,,25,FALSE,DAL,TRUE,-10,40,Texas Stadium,FALSE,79,5,54,,DAL,Sunday,FALSE,38,13,25,25,-25,25,10,15,TRUE,TRUE,HOME FAV
