schedule_season,schedule_week,team_home,score_home,score_away,team_away,favorite_margin,team_favorite_id,favorite_cover,spread_favorite,home_cover,fits_shank,fits_wever,fits_vergin,fits_vergin_monday,fits_gandar,fits_davis,fits_fodor
1985,4,NYJ,25,20,IND,5,NYJ,FALSE,-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,4,PHI,10,16,NYG,6,NYG,TRUE,-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,4,LAC,7,21,CLE,-14,LAC,FALSE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,4,SF,17,20,NO,-3,SF,FALSE,-16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,4,ARI,43,28,GB,15,ARI,TRUE,-7.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,4,PIT,24,37,CIN,-13,PIT,FALSE,-6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,5,ATL,17,38,SF,21,SF,TRUE,-11,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,5,CIN,20,29,NYJ,-9,CIN,FALSE,-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,CLE,24,20,NE,4,CLE,TRUE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,DEN,31,20,TEN,11,DEN,TRUE,-8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,GB,43,10,DET,33,GB,TRUE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,IND,49,17,BUF,32,IND,TRUE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,LVR,19,10,KC,9,LVR,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,LAR,13,10,MIN,3,LAR,FALSE,-6.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,MIA,24,20,PIT,4,MIA,FALSE,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,NO,23,21,PHI,2,NO,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,NYG,29,30,DAL,-1,NYG,FALSE,-2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,SEA,26,21,LAC,5,SEA,FALSE,-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,5,TB,19,27,CHI,8,CHI,PUSH,-8,PUSH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,5,WAS,27,10,ARI,-17,ARI,FALSE,-2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1985,6,CIN,35,30,NYG,-5,NYG,FALSE,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,DAL,27,13,PIT,14,DAL,TRUE,-5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
